symbol,cik,fiscal_year,fy_end,currency,fy_end_close,close_date,shares_outstanding,shares_asof,net_income,revenue,gross_profit,operating_income,dep_amort,op_cash_flow,capex,equity,debt,cash,market_cap,enterprise_value,ebitda,fcf,pe,ps,pb,ev_ebitda,fcf_yield,net_margin,gross_margin,revenue_growth_yoy,earnings_growth_yoy,price_source,fundamental_source,status,comment
FCX,0000831259,2021,2021-12-31,USD,41.62,2021-12-30,1454781055,2022-01-31,4306000000,22422000000,,8366000000,1998000000,7715000000,2115000000,23019000000,9450000000,8314000000,60547987509.0,61683987509.0,10364000000,5600000000,14.0613,2.7004,2.6303,5.9518,0.092489,0.192,,0.6138,3.978,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FCX,0000831259,2022,2022-12-31,USD,38.0,2022-12-30,1430693689,2023-01-31,3468000000,23271000000,,7037000000,2019000000,5139000000,3469000000,24871000000,10620000000,8390000000,54366360182.0,56596360182.0,9056000000,1670000000,15.6766,2.3362,2.1859,6.2496,0.030718,0.149,,0.0379,-0.1946,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FCX,0000831259,2023,2023-12-31,USD,42.57,2023-12-29,1434409010,2024-01-31,1848000000,22703000000,,6225000000,2068000000,5279000000,4824000000,27310000000,9422000000,6063000000,61062791556.0,64421791556.0,8293000000,455000000,33.0426,2.6896,2.2359,7.7682,0.007451,0.0814,,-0.0244,-0.4671,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FCX,0000831259,2024,2024-12-31,USD,38.16,2024-12-30,1437073006,2025-01-31,1889000000,25169000000,,6864000000,2241000000,7160000000,4808000000,28778000000,8948000000,4911000000,54838705909.0,58875705909.0,9105000000,2352000000,29.0305,2.1788,1.9056,6.4663,0.042889,0.0751,,0.1086,0.0222,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
FCX,0000831259,2025,2025-12-31,USD,51.41,2025-12-30,1437201606,2026-01-31,2204000000,25186000000,,6518000000,2244000000,5610000000,4494000000,18899000000,9379000000,3824000000,73886534564.0,79441534564.0,8762000000,1116000000,33.5238,2.9336,3.9095,9.0666,0.015104,0.0875,,0.0007,0.1668,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SCCO,0001001838,2021,2021-12-31,USD,62.1006,2021-12-30,773086869,2022-03-04,3397100000,10934100000,,6065100000,806000000,4292400000,892300000,8207800000,6547600000,3002000000,48009173879.0,51554773879.0,6871100000,3400100000,14.1324,4.3908,5.8492,7.5031,0.070822,0.3107,,0.3693,1.1531,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SCCO,0001001838,2022,2022-12-31,USD,61.2487,2022-12-30,773101669,2023-02-28,2638500000,10047900000,,4435800000,796300000,2802500000,948500000,8146900000,6251200000,2069700000,47351456732.0,51532956732.0,5232100000,1854000000,17.9464,4.7126,5.8122,9.8494,0.039154,0.2626,,-0.081,-0.2233,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SCCO,0001001838,2023,2023-12-31,USD,87.2938,2023-12-29,773113269,2024-02-28,2425200000,9895800000,,4192300000,833600000,3573100000,1008600000,7481200000,6254600000,1151500000,67488010544.0,72591110544.0,5025900000,2564500000,27.8278,6.8199,9.021,14.4434,0.037999,0.2451,,-0.0151,-0.0808,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
SCCO,0001001838,2024,2024-12-31,USD,,,796182905,2025-02-28,3376800000,11433400000,,5554700000,845900000,4421700000,1027300000,9238100000,6258300000,3258100000,,,6400600000,3394400000,,,,,,0.2953,,0.1554,0.3924,missing,SEC EDGAR XBRL companyconcept (latest restated annual),partial,twelvedata error: HTTP Error 429: Too Many Requests
SCCO,0001001838,2025,2025-12-31,USD,145.5522,2025-12-30,819103082,2026-02-26,4334900000,13420000000,,7001700000,868400000,4752100000,1325300000,11038100000,6750700000,4304600000,119222231039.0,121668331039.0,7870100000,3426800000,27.5029,8.8839,10.801,15.4596,0.028743,0.323,,0.1738,0.2837,Twelve Data time_series adjust=none,SEC EDGAR XBRL companyconcept (latest restated annual),ok,
